code,numeric,minor,symbol,unit,name,plural
SEK,752,2,kr,Krona,Swedish Krona,Swedish Kronor
SGD,702,2,S$,Dollar,Singapore Dollar,Singapore Dollars
SHP,654,2,£,Pound,Saint Helena Pound,Saint Helena Pounds
SLE,925,2,Le,Leone,Sierra Leonean Leone,Sierra Leonean Leones
SOS,706,2,S,Shilling,Somali Shilling,Somali Shillings
SRD,968,2,$,Dollar,Surinamese Dollar,Surinamese Dollars
SSP,728,2,£,Pound,South Sudanese Pound,South Sudanese Pounds
STN,930,2,Db,Dobra,Sao Tomean Dobra,Sao Tomean Dobras
SVC,222,2,₡,Colon,Salvadoran Colon,Salvadoran Colones
SYP,760,2,£,Pound,Syrian Pound,Syrian Pounds
SZL,748,2,E,Lilangeni,Swazi Lilangeni,Swazi Emalangeni
THB,764,2,฿,Baht,Thai Baht,Thai Baht
TJS,972,2,ЅМ,Somoni,Tajikistani Somoni,Tajikistani Somoni
TMT,934,2,T,Manat,Turkmenistani Manat,Turkmenistani Manats
TND,788,3,د.ت,Dinar,Tunisian Dinar,Tunisian Dinars
TOP,776,2,T$,Paʻanga,Tongan Pa'anga,Tongan Pa'anga
TRY,949,2,₺,Lira,Turkish Lira,Turkish Lire
TTD,780,2,TT$,Dollar,Trinidad and Tobago Dollar,Trinidad and Tobago Dollars
TWD,901,2,NT$,Dollar,New Taiwan Dollar,New Taiwan Dollars
TZS,834,2,TSh,Shilling,Tanzanian Shilling,Tanzanian Shillings
UAH,980,2,₴,Hryvnia,Ukrainian Hryvnia,Ukrainian Hryvni
UGX,800,0,USh,Shilling,Ugandan Shilling,Ugandan Shillings
USD,840,2,$,Dollar,US Dollar,US Dollars
USN,997,2,USN,Dollar,US Dollar (Next day),US Dollars (Next day)
UYI,940,0,UYI,Unit,Uruguay Peso en Unidades Indexadas,Uruguay Pesos en Unidades Indexadas
UYU,858,2,$U,Peso,Uruguayan Peso,Uruguayan Pesos
UYW,927,4,UYW,Unit,Unidad Previsional,Unidades Previsionales
UZS,860,2,лв,Som,Uzbekistan Som,Uzbekistan Soms
VED,926,2,Bs.S,Bolivar,Venezuelan Bolivar Digital,Venezuelan Bolivares Digital
VES,928,2,Bs.S,Bolivar,Venezuelan Bolivar,Venezuelan Bolivares
VND,704,0,₫,Dong,Vietnamese Dong,Vietnamese Dongs
VUV,548,0,VT,Vatu,Vanuatu Vatu,Vanuatu Vatu
WST,882,2,WS$,Tala,Samoan Tala,Samoan Tala
XAF,950,0,FCFA,Franc,CFA Franc BEAC,CFA Francs BEAC
XAG,961,0,XAG,Silver,Silver,Silver
XAU,959,0,XAU,Gold,Gold,Gold
XBA,955,0,XBA,Unit,Bond Markets Unit European Composite Unit (EURCO),Bond Markets Unit European Composite Unit (EURCO)
XBB,956,0,XBB,Unit,Bond Markets Unit European Monetary Unit (E.M.U.-6),Bond Markets Unit European Monetary Unit (E.M.U.-6)
XBC,957,0,XBC,Unit,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),Bond Markets Unit European Unit of Account 9 (E.U.A.-9)
XBD,958,0,XBD,Unit,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),Bond Markets Unit European Unit of Account 17 (E.U.A.-17)
XCD,951,2,$,Dollar,East Caribbean Dollar,East Caribbean Dollars
XDR,960,0,XDR,Right,Special Drawing Right,Special Drawing Rights
XOF,952,0,CFA,Franc,CFA Franc BCEAO,CFA Francs BCEAO
XPD,964,0,XPD,Palladium,Palladium,Palladium
XPF,953,0,₣,Franc,CFP Franc,CFP Francs
XPT,962,0,XPT,Platinum,Platinum,Platinum
XSU,994,0,XSU,Right,Sucre,Sucre
XTS,963,0,XTS,Reserved,Codes specifically reserved for testing purposes,Codes specifically reserved for testing purposes
XUA,965,0,XUA,Right,ADB Unit of Account,ADB Units of Account
XXX,999,0,XXX,Reserved,The codes assigned for transactions where no currency is involved,The codes assigned for transactions where no currency is involved
YER,886,2,﷼,Rial,Yemeni Rial,Yemeni Rials
ZAR,710,2,R,Rand,South African Rand,South African Rand
ZMW,967,2,ZK,Kwacha,Zambian Kwacha,Zambian Kwacha
ZWG,924,2,ZiG,Gold,Zimbabwe Gold,Zimbabwe Gold
